id_student,code_module,presentation_year,presentation_term,gender,region,highest_education,imd_band,age_band,num_prev_attempts,studied_credits,disability,date_registration,final_weighted_score,total_assessments_submitted,total_clicks,unique_materials_accessed,unemployment_rate,avg_broadband_speed,is_at_risk
25997,BBB,2014,B,F,London Region,A Level or Equivalent,20-30%,0-35,2,60,N,-139,74.42,2,13,2,6.8,24.22,1
27189,FFF,2014,B,F,South Region,Lower Than A Level,10-20%,35-55,0,120,N,-65,38,12,2638,91,5,18.12,1
28770,EEE,2014,J,M,Scotland,Lower Than A Level,20-30%,0-35,0,30,N,-31,0,0,0,0,6,14.59,1
29144,BBB,2013,B,M,South Region,Lower Than A Level,60-70%,0-35,0,120,N,-24,65.46,9,1914,138,6,15.25,1
31205,GGG,2014,J,M,East Midlands Region,Lower Than A Level,20-30%,35-55,0,30,Y,-31,0,4,381,27,6.5,18.97,1
32553,EEE,2013,J,M,North Western Region,A Level or Equivalent,60-70%,0-35,0,60,N,-80,0,0,0,0,8.5,15.1,1
34653,DDD,2013,J,M,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,-149,48.2,3,213,47,7.9,15.19,1
34694,BBB,2013,B,M,West Midlands Region,A Level or Equivalent,10-20%,35-55,1,60,N,-55,0,0,0,0,9,15.95,1
39208,DDD,2014,J,F,Wales,A Level or Equivalent,90-100%,35-55,0,120,N,-161,0,0,0,0,6.7,14.8,1
41060,DDD,2013,B,M,Ireland,HE Qualification,70-80%,0-35,0,60,N,-24,80.5,11,411,71,7.5,18.21,1
41547,BBB,2014,J,F,Yorkshire Region,A Level or Equivalent,40-50%,0-35,0,60,N,-87,43.35,5,1007,76,7.3,17.42,0
43273,FFF,2013,B,M,East Midlands Region,HE Qualification,60-70%,35-55,0,90,N,-108,70.75,12,1862,112,7.9,15.19,0
43958,FFF,2014,J,M,Wales,A Level or Equivalent,90-100%,35-55,1,60,N,-115,89,6,1098,63,6.7,14.8,1
46605,CCC,2014,B,M,East Anglian Region,HE Qualification,60-70%,35-55,0,60,N,-54,95.61,9,3427,107,5.6,20.01,0
47855,BBB,2013,J,F,Scotland,Lower Than A Level,10-20%,35-55,3,300,N,23,44.77,11,12,3,7.1,11.71,1
48040,BBB,2013,J,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,120,N,-92,63.6,11,1829,127,7.9,15.19,0
48635,CCC,2014,J,M,South Region,HE Qualification,90-100%,0-35,0,120,N,-8,78,1,592,30,5,18.12,1
52765,AAA,2014,J,F,Yorkshire Region,Lower Than A Level,0-10%,35-55,0,120,N,-22,61.5,5,4938,94,7.3,17.42,0
53300,CCC,2014,J,M,West Midlands Region,A Level or Equivalent,90-100%,0-35,0,270,N,-24,94.97,9,1957,58,7.1,19.62,0
53632,DDD,2014,J,M,Wales,Lower Than A Level,90-100%,0-35,2,60,N,-32,87.27,5,73,22,6.7,14.8,1
54062,EEE,2013,J,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,30,N,-51,90.32,4,1477,65,6.2,16.41,0
54810,DDD,2014,B,M,South Region,HE Qualification,40-50%,0-35,0,60,N,-54,85.56,2,260,38,5,18.12,1
55026,BBB,2013,J,F,London Region,A Level or Equivalent,20-30%,35-55,0,60,Y,-88,63.62,9,283,34,8.9,20.16,0
55104,AAA,2014,J,F,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,-87,71.3,5,1480,59,7.1,19.62,0
57079,BBB,2013,J,F,London Region,Lower Than A Level,30-40%,35-55,0,60,N,-129,64.51,10,776,73,8.9,20.16,1
58549,FFF,2013,B,M,North Region,A Level or Equivalent,10-20%,0-35,0,120,N,-23,93.25,12,2481,156,9.7,16.22,0
63827,DDD,2014,J,M,South West Region,Lower Than A Level,40-50%,0-35,1,60,N,-68,77,3,108,37,5.2,16.09,1
66713,EEE,2013,J,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,-155,75.24,4,1850,47,6,15.25,0
67602,DDD,2013,B,M,Ireland,Lower Than A Level,30-40%,0-35,1,60,N,-28,46.71,14,797,124,7.5,18.21,0
67986,FFF,2014,B,F,Scotland,Lower Than A Level,80-90%,0-35,0,60,N,-75,72,2,660,53,6,14.59,1
69494,CCC,2014,J,F,Yorkshire Region,No Formal quals,20-30%,0-35,1,150,N,-25,21.46,4,1448,50,7.3,17.42,1
69703,CCC,2014,B,M,Yorkshire Region,Lower Than A Level,20-30%,0-35,0,120,N,-124,77.5,9,695,56,7.3,17.42,0
70214,CCC,2014,J,M,Wales,Lower Than A Level,70-80%,0-35,0,90,N,-17,33,1,369,27,6.7,14.8,1
72114,FFF,2014,B,M,North Region,A Level or Equivalent,40-50%,0-35,1,120,Y,-122,85,12,4300,208,7.7,19.89,0
73584,BBB,2014,J,F,South West Region,Lower Than A Level,30-40%,0-35,1,60,N,-121,55,2,243,35,5.2,16.09,1
74290,CCC,2014,J,M,Scotland,Lower Than A Level,10-20%,0-35,1,30,N,-124,10,1,47,11,6,14.59,1
78170,DDD,2013,J,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,-156,56.45,7,2669,172,9,15.95,1
78255,BBB,2013,J,F,North Region,Lower Than A Level,0-10%,0-35,1,120,N,-162,76,1,191,25,9.7,16.22,1
79403,AAA,2014,J,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,-23,58.4,3,1782,61,5,18.12,1
79683,FFF,2014,B,M,Wales,A Level or Equivalent,30-40%,0-35,0,60,Y,-40,57,2,431,47,6.7,14.8,1
80491,CCC,2014,J,M,Scotland,Lower Than A Level,10-20%,35-55,0,115,N,-58,43.94,5,330,19,6,14.59,1
82741,BBB,2013,B,F,East Anglian Region,Lower Than A Level,50-60%,0-35,0,60,N,-60,64.68,11,879,87,6.2,16.41,0
84051,FFF,2013,B,M,Wales,A Level or Equivalent,60-70%,0-35,0,120,N,-29,74.4,3,210,28,8.4,12.17,1
91629,FFF,2013,J,M,Wales,A Level or Equivalent,20-30%,0-35,2,60,Y,-44,69,3,1657,76,8.4,12.17,1
92391,DDD,2013,J,F,East Anglian Region,A Level or Equivalent,40-50%,35-55,1,60,N,-145,47.41,5,229,33,6.2,16.41,1
94961,AAA,2014,J,M,South Region,Lower Than A Level,70-80%,35-55,1,60,N,-150,61.7,5,901,43,5,18.12,0
96423,GGG,2014,B,F,South East Region,Lower Than A Level,90-100%,0-35,0,30,N,-60,0,9,589,43,5,20.14,0
98094,AAA,2013,J,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,-107,60.6,5,2839,91,8.4,12.17,0
98452,BBB,2014,J,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,Y,-137,0,1,35,9,5.2,16.09,1
99088,BBB,2014,J,F,Yorkshire Region,Lower Than A Level,20-30%,0-35,2,60,N,-31,44.33,3,359,45,7.3,17.42,1
